letter	goBed	getUp
0.00	23:59	00:00
0.01	23:59	00:00
0.00	23:59	00:00
0.01	23:59	00:00
0.00	23:59	00:00
4.01	00:53	07:25
4.02	00:12	09:21
4.03	00:41	08:52
4.04	00:53	07:50
4.05	03:27	07:49
4.06	01:18	06:56
4.07	01:01	07:37
4.08	00:27	09:01
4.09	01:44	10:27
4.10	00:37	07:40
4.11	22:58	07:44
4.12	02:21	07:56
4.13	00:30	08:48
4.14	03:27	07:32
4.15	01:19	07:57
4.16	21:39	06:10
4.17	23:47	08:37
4.18	00:18	08:12
4.19	01:24	07:37
4.20	23:10	07:35
4.21	00:00	07:39
4.22	23:29	07:17
4.23	00:47	07:41
4.24	01:32	07:45
4.25	23:53	07:23
4.26	23:55	08:24
4.27	22:00	07:44
4.28	23:26	08:13
4.29	00:43	01:55
4.30	00:26	07:44
5.01	23:29	03:59
5.02	22:37	07:31
5.03	00:14	07:24
5.04	23:01	07:44
