letter	goBed	getUp
0.00	23:59	00:00
0.01	23:59	00:00
3.01	01:46	08:07
3.02	20:57	08:16
3.03	23:54	07:59
3.04	00:46	07:19
3.05	23:00	07:11
3.06	23:10	07:11
3.07	00:23	07:32
3.08	00:49	07:46
3.09	01:18	07:14
3.10	01:18	07:14
3.11	01:31	08:50
3.12	01:31	08:50
3.13	22:49	08:09
3.14	01:29	08:24
3.15	20:48	08:16
3.16	23:00	08:00
3.17	21:44	08:26
3.18	02:00	10:00
3.19	02:00	10:00
3.20	23:01	08:23
3.21	00:36	08:15
3.22	00:22	07:40
3.23	03:23	08:23
3.24	03:13	08:24
3.25	00:19	09:34
3.26	02:34	08:28
3.27	00:56	07:55
3.28	01:07	07:21
3.29	01:07	08:16
3.30	00:26	07:40
3.31	01:23	07:37
