名称,地址,级别,电话
故宫博物院,北京市东城区景山前街4号,5A,85117049
天坛公园,北京市东城区天坛内东里7号天坛公园管理处,5A,67028866
恭王府,北京市西城区柳荫街甲14号,5A,66168149
颐和园,北京市海淀区新建宫门路19号,5A,62881144
八达岭长城风景名胜区,北京市延庆县八达岭特区办事处,5A,69121423
十三陵,北京市昌平区十三陵特区办事处,5A,60761423
慕田峪长城,北京市怀柔区渤海镇慕田峪村,5A,61626505
孔庙/国子监,北京市东城区国子监街13号/15号,4A,64057214
北京市规划展览馆,北京市东城区前门东大街20号,4A,67024559
龙潭公园,北京市东城区龙潭路8号,4A,67144336
明城墙遗址公园,北京市东城区崇文门东大街东便门9号,4A,65270574
中山公园,北京市东城区中华路4号,4A,66052669
什刹海风景区,北京市西城区羊房胡同甲23号,4A,66127651
北海公园,北京市西城区文津街1号,4A,64031102
北京动物园,北京市西城区西直门外大街137号,4A,68314411
北京海洋馆,北京市西城区高梁桥斜街乙18号,4A,62176655
景山公园,北京市西城区景山西街44号,4A,64021191
首都博物馆,北京市西城区复兴门外大街16号,4A,63363388
陶然亭公园,北京市西城区太平街19号,4A,63535704
北京欢乐谷,北京市朝阳区东四环小武基北路,4A,67383333
中华民族园,北京市朝阳区民族园路1号,4A,62063618
中国紫檀博物馆,北京市朝阳区兴隆西街9号,4A,85752818
元大都城垣遗址公园,北京市朝阳区太阳宫芍药居甲8号,4A,64222821
朝阳公园,北京市朝阳区农展南路1号,4A,65065409
蟹岛绿色生态农庄,北京市朝阳区金盏乡蟹岛路1号,4A,84324173
圆明园遗址公园,北京市海淀区清华西路28号,4A,62543673
北京市植物园,北京市海淀区香山卧佛寺路,4A,62591561
香山公园,北京市海淀区买卖街40号,4A,62591155
中央广播电视塔,北京市海淀区西三环中路11号,4A,86093373
紫竹院公园,北京市海淀区中关村南大街35号,4A,68425880
玉渊潭公园,北京市海淀区西三环中路10号,4A,68525536
凤凰岭自然风景区,北京市海淀区苏家坨镇凤凰岭路19号,4A,62459492
