序号,区县,街乡,名称,地址,联系电话,联系人,特色产品,简介
1,海淀区,,御香观光采摘园,北京市海淀区香山香泉环岛南侧1000米路东,62590135,刘景荣,樱桃、草莓、西瓜、山楂、海棠等有机果品,御香观光采摘园地处香山风景旅游区，隶属于北京一品香山农产品销售有限责任公司，属村集体所有制单位，园区占地400亩。通过不断地探索和实践，御香观光采摘园正从一个原始农业种植园向着现代都市农业方向发展，还将不懈努力，继续完善园区设施，丰富种植品种，拓宽商品流通渠道以增加园区经济收入。
2,海淀区,,香山绿色果品观光采摘园,北京市海淀区香山旱河路,62593250,张文英,樱桃、杏、大桃,香山绿色果品观光采摘园地处香山风景旅游区，园区占地410亩，主要种植樱桃、杏、大桃等陆地水果，同时园中新建的56栋日光温室大棚内还种有果桑、草莓和南方水果——枇杷及各种蔬菜。绿色果品观光采摘园内文化建设内容丰富，观光采摘园以大自然为舞台，以传统文化为内涵，以休闲、求知、观光、采摘为载体，赋予了观光采摘园独特的文化品格。
3,海淀区,,温泉观光采摘园,北京市海淀区北部新区郊野公园内,62456859,陈永山,樱桃、鲜杏、李子、鲜桃、葡萄、苹果,温泉观光采摘园地处海淀区北部新区郊野公园内，果树面积5000余亩，分布于沿山一带，属山地果园。树龄正值盛果期，果品个大，色泽鲜艳，口味极佳，有樱桃品种十余个。采摘园交通便利，三面环山，周围地区风景优美
4,海淀区,苏家坨镇聂各庄村,北京大周末观光园,北京市海淀区西山农场聂各庄村南,62459167,李忠山,樱桃、李子、杏、桃、苹果等各种果木,北京大周末观光园位于海淀区苏家坨镇聂各庄，西靠凤凰岭风景区，东临稻香湖风景区，西南有阳台山、大觉寺。观光园结合区域周边观光业的发展，让果林经济与观光旅游相结合，充分体现生态、休闲、科普三大功能，并以其巨大的辐射能量拉动其他相关产业的发展，有力的加快经济建设的步伐。
5,海淀区,苏家坨镇台头村,北京科烨隆生物技术有限责任公司生态园,北京市海淀区苏家坨镇台头村路5号,62459631,孙卉卉,果树、钓鱼,北京科烨隆生物技术有限责任公司是以果树种植和特色养殖为载体、以高新科技和生物技术为支撑、以农业观光和特色采摘为亮点、以休闲娱乐和康体健身为辅助、以农业培训和科普教育为延伸、以绿色养生和服务大众为方向，积极整合社会优势资源，研发特种旅游产品。生态园内现有优质果树400余亩，20多个树种、100多个品种；鱼池6000多平方米。
6,海淀区,四季青镇北辛庄村,北京双新观光采摘园,北京市海淀区四季青北辛庄村北西侧平房,62590405,薛宝金,樱桃、李子、大桃、葡萄,北京双新观光采摘园座落在风景优美、环境怡人的西山风景旅游区，西临八大处，北临香山，东临五环路，风光秀丽，交通便捷，拥有得天独厚的地理优势。观光园采摘树种有樱桃、李子、大桃、葡萄等，园内地势平坦，水质良好，种植多种珍惜花灌木，园中建有餐厅、停车场及星级卫生间，环境优美，成就了距离城市最近的休闲农庄。
7,丰台区,长辛店镇,长辛店镇大枣采摘园,北京市丰台区长辛店镇,83876489,张稳锋,枣,长辛店镇大枣采摘园共10000亩，分布在全镇的6个行政村，重点是太子峪、李家峪、辛庄、东河沿4个行政村，供游人采摘。同时园内放养有柴鸡，销售柴鸡及柴鸡蛋。
8,丰台区,,精品果树试验示范园,北京市丰台区长辛店镇大灰厂村,63863005,鞠新光,桃、杏、李、樱桃、梨、枣、葡萄、杮子、石榴,丰台区精品果树试验示范园座落在密林之中，四周是几千亩的森林，环境非常优美，气候宜人，春季可赏花，夏季可纳凉，秋季可观红叶，是休闲度假的好地方。全园栽植有9个树种近50个名优品种，建有2000多平方米的现代化日光温室，果园全部施用有机肥，灌溉无污染的深层地下水，病虫害防治采用对人体无害的生物农药。
9,丰台区,,青龙湖观光采摘园,北京市丰台区青龙湖公园,83310645,马冬丽,桃、杏、李、樱桃、苹果、枣、葡萄、杮子。,青龙湖观光采摘园座落在北京青龙湖公园内，是北京青龙湖公园的一部分，占地1000亩，公园水域面积6000亩，距市区仅20多公里。园内山青水秀，林木茂盛，湖面宽阔，空气清新。清晨朝霞映翠，傍晚龙湖夕照，生态环境十分优美。湖面水上娱乐项目有龙舟、汽艇、摩托艇、水上飞伞。有占地60亩可同时容纳5000人的露天沙滩浴场，使您享受到海滨浴场的乐趣。园内设有独具特色的别墅区，农家风味的餐厅，配套客房，娱乐会议中心等。是您会议、住宿及娱乐的理想场所。
10,门头沟区,妙峰山镇,绿湾丹柿园,北京市门头沟区妙峰山镇东南部永定河岸,61881212,,大枣、柿子,绿湾丹柿园是一处集水上公园、鸵鸟养殖、白梨采摘及农家乐园于一体的综合观光农业园区，可分为三个园区。陈家庄农家东南临永定河，北靠109国道，东临京城28公里，依山面水，景色秀美。村中建有大枣采摘园和柿子采摘园，并依独特的地理环境建起了农家乐园。园区在村北的小坝旁边，码头上有380平方米的柳树林，山上建有凉亭，可一览山光水色，水坝上水面宽阔，游船漂荡，岸边绿柳成行，一派江南水乡景色。
