名称,通讯地址,邮编,电话
故宫博物院,东城区景山前街4号,100009,65132255
中国国家博物馆,东城区东长安街16号,100006,65119025
北京鲁迅博物馆,西城区阜成门宫门口二条19号,100034,66164169
中国美术馆,东城区五四大街1号,100010,64017076
毛主席纪念堂,东城区前门东大街11号,100006,65131130
中国体育博物馆,朝阳区安定路甲3号,100101,64912168
民族文化宫博物馆,西城区复兴门内大街49号?,100031,66019375
中国地质博物馆,西城区西四羊肉胡同15号,100034,66557402
中国农业博物馆,朝阳区东三环北路16号,100026,65931355
中国古动物馆,西城区西直门外大街142号,100044,88369280
中华航天博物馆,丰台南大红门1号9200信箱4分箱,100076,68753590
中国人民抗日战争纪念馆,丰台区卢沟桥城内街101号,100165,83893163
中国科学技术馆,朝阳区北辰东路5号,100012,59041013
宋庆龄故居,西城区后海北沿46号,100009,64073653
中国人民革命军事博物馆,海淀区复兴路9号,100038,66866010
中国航空博物馆,昌平区小汤山5806信箱,102211,66916919
北京自然博物馆,东城区天桥南大街126号,100050,67020641
北京天文馆,西城区西直门外大街138号,100044,68353003
首都博物馆,西城区复兴门外大街16号,100045,63370491
大钟寺古钟博物馆,海淀区北三环西路甲31号,100086,82138913
北京艺术博物馆,海淀区苏州街万寿寺,100081,68413380
北京古代建筑博物馆,西城区先农坛东经路21号,100050,63045608
北京石刻艺术博物馆,海淀区五塔寺村24号,100081,62186081
徐悲鸿纪念馆（闭馆重建）,西城区新街口北大街53号,100035,56141420
炎黄艺术馆,朝阳区亚运村慧忠路9号,100101,64912902
明十三陵博物馆,昌平区十三陵特区办事处,102213,60761424
北京古观象台,东城区建国门大街裱褙胡同2号,100005,65242202
郭沫若纪念馆,西城区前海西街18号,100009,83225392
梅兰芳纪念馆,西城区护国寺街9号,100035,83223598
中国佛教图书文物馆,西城区法源寺前街7号,100052,63533772
中国长城博物馆,延庆区八达岭特区,102112,69121890
雍和宫藏传佛教艺术博物馆,东城区雍和宫大街12号,100007,64044499
北京古代钱币博物馆,西城区北二环中路德胜门箭楼,100011,62029863
北京西周燕都遗址博物馆,房山区琉璃河董家林村七区1号,102403,61393412
北京辽金城垣博物馆,丰台区右安门外大街玉林小区甲40号       ,100054,63054991
北京大葆台西汉墓博物馆,丰台区花乡郭公庄世界公园东南,100070,83613073
北京大学赛克勒考古与艺术博物馆,海淀区北京大学校内（西校门内）,100871,62751667
北京市白塔寺管理处,西城区阜内大街171号,100034,66166099
李大钊烈士陵园,海淀区香山万安里1号,100093,62591044
詹天佑纪念馆,延庆区八达岭特区,102112,69121506
焦庄户地道战遗址纪念馆,顺义区龙湾屯乡焦庄户村,101306,60461906
中央民族大学民族博物馆,海淀区中关村南大街27 号,100081,68932760
北京航空航天博物馆,海淀区学院路37号北京航空航天大学院内,100083,82317512
中央美术学院美术馆,朝阳区花家地南街8号,100102,64771575
北京房山云居寺石经博物馆,房山区南尚乐乡云居寺,102407,61389604
密云区博物馆,密云区西门外大街2号,101500,69088441
昌平区博物馆,昌平区府学路10号,102200,80112647
通州区博物馆,通州区西大街9号,101100,69546442
山戎文化陈列馆,延庆区张山营镇玉皇庙村东,102100,69199534
北京长辛店二·七纪念馆,丰台区长辛店花园南里甲15号,100072,83305948
上宅文化陈列馆,平谷区金海湖旅游区,101201,69991268
郭守敬纪念馆,西城区德胜门西大街甲60号汇通祠,100035,66183083
中国第四纪冰川遗迹陈列馆,石景山区模式口大街28号,100041,88722585
周口店北京人遗址博物馆,房山区周口店大街1号,102405,69301287
中国印刷博物馆,大兴区黄村镇兴华北路25号,102600,69245505
中国工艺美术馆,西城区复兴门内大街101号?,100031,66012255
北京红楼文化艺术博物馆,西城区南菜园街大观园,100054,63544993
北京文博交流馆,东城区禄米仓街5号智化寺,100010,65253670
北京市正阳门管理处,东城区前门大街北端,100051,65229384
北京市东南城角角楼文物保管所,东城区东大街东便门外东南城角楼,100062,65226008
团城演武厅,海淀区香山南路红旗村1号,100093,62594750
文天祥祠,东城区府学胡同63号,100007,64014968
永定河文化博物馆,门头沟区门头沟路8号,102300,69827332
北京钟鼓楼文物保管所,东城区钟楼湾临字9号,100009,84027869
法海寺,石景山区模式口,100041,88715776
中国国家画院美术馆,海淀区西三环北路54号,100044,68411369
圆明园展览馆,海淀区清华北路圆明园遗址公园内,100084,62543673
大觉寺,海淀区北安河乡西山大觉寺管理处,100095,62456163
茅盾故居,东城区交道口后圆恩寺街13号,100009,64035519
北京中华民族博物院,朝阳区民族园路1号,100029,62063618
观复博物馆,朝阳区大山子张万坟金南路18号,100015,84562912
古陶文明博物馆,西城区右安门内西街12号,100054,63538811
何扬·吴茜现代绘画馆,朝阳区金盏乡长店村1128号,100018,84338157
中国钱币博物馆,西城区西交民巷22号,100031,66024178
中国医史博物馆（内部开放）,东城区东直门内中医研究院内,100700,64014411
恭王府及花园,西城区柳荫街甲14号,100009,82332177
中国现代文学馆,朝阳区文学馆路45号,100029,57311800
中国蜜蜂博物馆,海淀区香山卧佛寺西侧,100093,62595735
慈悲庵,西城区太平街19号,100050,63522344
卢沟桥历史博物馆,丰台区卢沟桥城南街77号,100072,83893484
平西人民抗日战争纪念馆,房山区十渡平西抗日烈士陵园管理处,102411,61340702
平北抗日战争纪念馆,延庆区龙庆峡路口,102109,69191619
冀热察挺进军司令部旧址陈列馆,门头沟区斋堂镇马栏村,102309,69816347
北京中医药大学中医药博物馆,朝阳区北三环东路11号,100029,64286815
曹雪芹纪念馆,海淀区香山正白旗村39号,100093,62591561
香山双清别墅,海淀区香山公园内,100093,82590297
中国电信博物馆,海淀区学院路42号,100083,58843008
北京上庄纳兰性德史迹陈列馆,海淀区上庄乡上庄村翠湖水乡旅游渡假区内,100094,82473133
北京航空航天模型博物馆,朝阳区大山子环铁内中心,100015,64373015
老甲艺术馆,昌平区东小口霍营,102208,81702370
北京戏曲博物馆,西城区虎坊路3号,100052,63518284
老舍纪念馆,东城区灯市口西街丰富胡同19号,100006,65599218
北京民俗博物馆,朝阳区朝外大街141号,100020,65510151
保利艺术博物馆,东城区朝阳门北大街1号新保利大厦15层,100010,84192359
北京中国紫檀博物馆,朝阳区兴隆西街9号,100025,85767320
北京麋鹿苑博物馆,大兴南海子麋鹿苑,100076,69280671
坦克博物馆,昌平区阳坊镇61077部队,102205,66759901
北京工艺美术博物馆,东城区王府井大街200号工美大厦四层,100005,65289326
中华世纪坛世界艺术馆,海淀区复兴路甲9号,100038,68513322
北京服装学院民族服饰博物馆,朝阳区和平街北口樱花路甲2号北京服装学院综合大楼三层,100029,64288261
北京警察博物馆,东城区东交民巷36号,100006,85225027
北京自来水博物馆,东城区东直门外香河园街3号,100028,64650787
北京王府井古人类文化遗址博物馆,东城区东长安街1号王府井东方广场WIP3,100738,85186306
北京金台艺术馆,朝阳区农展南路1号朝阳公园西内,100026,65019441
北京睦明唐古瓷标本博物馆,东城区东花市北里东区1号,100062,67186939
北京松堂斋民间雕刻博物馆,东城区国子监3号院,100007,暂无
中国印钞造币博物馆,西城区西直门外大街甲143号,100044,88016028
中国铁道博物馆,朝阳区酒仙桥北路1号北侧,100015,64381317
中国马文化博物馆,八达岭镇阳光路8号,102102,81182120
北京皇城艺术馆,东城区菖蒲河公园西侧北岸,100006,85115114
北京御生堂中医药博物馆,昌平区北七家镇王府街1号王府公寓2—35,102209,81788271
北京崔永平皮影艺术博物馆,通州区马驹桥金桥花园16楼四单元一层,101102,60502692
北京人民艺术剧院戏剧博物馆,东城区王府井大街22号（首都剧场）,100006,85120003
海淀区博物馆,海淀区中关村大街28—1号,100086,51601042
居庸关长城博物馆,昌平十三陵特区（昌平区南口镇居庸关长城）,102202,69771665
北京宣南文化博物馆,西城区长椿街9号,100053,63015411
北京百工博物馆,东城区光明路乙12号,100061,67111381
孔庙和国子监博物馆,东城区国子监街13号,100007,64057214
老爷车博物馆,怀柔区杨宋镇杨雁路,101400,61677039
北京百年世界老电话博物馆,顺义区杨镇汉石桥湿地公园内,101399,61497478
