区县,名称,地址,驾车路线,乘车路线,垂钓品种及价格,特色美食,重点推荐,最低人均消费,最高人均消费,住宿情况,开放时间,安全保障,停车位,提示,联系电话,优惠信息,评价,备注
通州,北京市安君洲农业科技有限公司—开新农场,北京市通州区潞城镇甘棠乡贾后疃村潮白河畔,"1、走京通高速转向通燕高速,从第一个出口耿庄出口出来，右转过石桥左转，沿大堤直行8公里即到。
2、走京沈高速，出了六环，从台湖出口出来后右转（向北走）直行5公里左右看见城铁右转进入京津公路向天津方向行驶，看见大厂的指示牌左转直行向大厂方向行驶3公里过中石化，再?","1、四惠坐地铁八通线到土桥总站下车，车头方向出口出来，下过街天桥步行50米坐通13到甘棠桥下，打出租10元即到开新农场。
　　　2、大北窑西坐804到甘棠乡政府下车，打出租10元即到。
　　　3、大客车行驶路线：（20坐至55坐）走京津公路（103公路）向天津方向行驶，看见大?",草鱼10元/斤、鲫鱼10元/斤,农家饭、自助烧烤,自助烧烤,0.00 ,0.00 ,小木屋别墅双人套餐：576元（含一顿早餐、一顿农家饭、一顿自助烧烤）,3月～10月，营业时间早8:00～晚10:00,,,夏天蚊虫较多、务必带上花露水和驱蚊药。娱乐项目非常丰富，包括垂钓、室外游泳、沙滩排球、沙滩足球、摩托艇、汽艇、脚踏船、真人CS、卡丁车、骑马、KTV、电子游艺，旺季请提前预约。,400-700-9358,持本书消费，可以打9.5折。,行车：★★★★垂钓：★餐饮：★★★★住宿：★★★★★综合：★★★,
通州,北京京东大运河农产品配送中心,北京市通州区马驹桥镇大松垡村村南红绿灯处,"1、自京通高速抵达通州城区后沿运河大街一直向东走到小营村后路北即到。
2、自京通高速抵达通州后沿新华大街向东走上宋梁路，见到第一个红绿灯向左转前行1000米即可。
",,草鱼12元/斤、鲤鱼8元/斤、鲫鱼12元/斤、中华鲟50元/斤、丁桂鱼30元/斤,垮炖鱼,垮炖鱼,60.00 ,60.00 ,,5月～10月，营业时间为早7:30～晚7:00,,,园区可以采摘果蔬品种包括西瓜、樱桃、草莓、各类时令蔬菜。草莓采摘时间为2月～6月，西瓜采摘时间为5月～6月，樱桃采摘时间为5月中旬～6月中旬。,13716883618,9.5折,行车：★★★垂钓：★★★餐饮：★★★综合：★★★,
通州,松海垂钓园,北京市通州区马驹桥镇大松垡村村南红绿灯处,"1、从北京城区方向来，京津高速公路张采路出口，去于家务方向，到于家务路口右转两公里；或京津塘高速公路马驹桥出口，走漷马路去县城方向，到大杜社路口右转三公里即到。
2、从通州城区方向来，走九德路（起点梨园九棵树）直行到大松垡村南口；或走张彩路（起点京津公路土?",,1、休闲垂钓品种及参考价格：草鱼14元/斤、罗非18元/斤、鲤鱼14元/斤、花鲢16元/斤、鲫鱼14元/斤、青鱼18元/斤、鲟鱼45元/斤、美国猫鱼25元/斤、嘎鱼25元/斤。2、路亚垂钓参考价格和垂钓规则：120元/人次；会员卡办理：10次1000元；20次1800元。要求垂钓上的鱼放回垂钓池塘?,垮炖鱼、咸菜小麦穗、垮炖柴鸡，柴锅灶台鱼，玉米面贴饼子、菜团子、棒渣粥等农家饭菜。,垮炖鱼,40.00 ,50.00 ,"10间普通间

价格100元/间","3月底～11月底，

营业时间早7:00～晚7:00",,,鱼塘水深2米～4.5米，请注意安全；垂钓园设施专业，能提供多种多样的垂钓服务，场内可竞技垂钓、路亚垂钓及休闲垂钓；本园农家菜美味可口，用餐请提前预定。,010-61582576 、13910587110,,"行车：★★★
垂钓：★★★★★
餐饮：★★★
住宿：★★★
综合：★★★★★",
通州,北京市瑞海峰渔场,北京市通州区宋庄镇小邓各庄,自京通高速向东行驶至新华大街到胡各庄路口左转过召礼桥100米右转，向东行使看见一个小桥之后向南行驶150米右转即到。,,罗非18元/斤、草鱼10元/斤、鲤鱼10元/斤、青鱼20元/斤、鲫鱼15元/斤,垮炖鱼 农家菜,罗非鱼,40.00 ,50.00 ,,4月～10月，营业时间早6:30～晚7:00,,,垂钓旺季最好提前预订钓位,13901231379,,"行车：★★★
垂钓：★★
餐饮：★★★
综合：★★",
通州,北京隆昌达苑养殖场,北京市通州区宋庄镇丁各庄村龙源酒楼原宋健饭庄旁向东100米右侧院内,京通快速路至通燕高速宋庄出口左转穿丁各庄桥向前200米至龙源酒楼(原宋健饭庄)右转向东200米右侧进院门即到,,草鱼18元/斤、鲤鱼15/斤、鲫鱼18/斤,农家柴锅炖鱼、柴锅炖鸡、柴锅炖大鹅、特色烧烤,烤全羊、柴锅炖大鱼、农家面食(馅饼、包子、菜团子等),48.00 ,120.00 ,独栋别墅1800元/套、旅店80元/间,3月～10月，营业时间早9:00～晚10：00,路口200米中石化加油站24小时营业,,夏季蚊虫较多，请备好花露水，旺季请提前电话预约。,15611178080,,"行车：★★★★
垂钓：★★★
餐饮：★★★★住宿：★★★★
综合：★★",
通州,金盛强世界花卉创意园,北京市通州区台湖镇前营村金盛强世界花卉创意园,京沈高速台湖出口，连续两个左转弯，见台湖5公里路标，过萧太后河见金盛强世界花卉创意园路标。,,会员价如下：淡水黄花鱼30元/斤、青鱼25元/斤、草鱼20元/斤、鲫鱼16元/斤、鲤鱼20元/斤、鲶鱼16元/斤、稻田蟹（公蟹）40元/斤、稻田蟹（母蟹）50元/斤；非会员价如下：淡水黄花鱼35元/斤、青鱼30元/斤、草鱼25元/斤、鲫鱼20元/斤、鲤鱼25元/斤、鲶鱼20元/斤、稻田蟹（公蟹）,农家饭、烤全羊、蟹宴(9月～11月),采摘、真人CS、自助烧烤、钓蟹 (9月～11月),50.00 ,50.00 ,,3月-10月，营业时间早9:00～晚9：00,,,,52105821,持本书享受会员价,行车：★★★★垂钓：★餐饮：★★★综合：★★★,
通州,渔乐园（侉店垂钓园）,北京市通州区潞城镇侉店村,沿京通高速路行驶至通州城区内，走运河西大街一直向东进入通胡南路向东开行驶至胡郎路见侉店垂钓园即可。,,按斤收费价格为鲤鱼12元/斤、草鱼12元/斤、鲫鱼12元/斤；按天收费价格为放鱼日（每周三、周六）100元/天、非放鱼日60～80/天,烤全羊、烤羊腿、自助烧烤,,0.00 ,0.00 ,本园与旅游村内宾馆有长期合作，开车几分钟即到，住宿价格为标间180元/天，套房300元/天。,3月中旬～11月底，24小时营业,周边有车辆维修点，交通方便,,夏季为垂钓旺季，可提前预订钓位,15011273654,,行车：★★★垂钓：★★餐饮：★住宿：★★综合：★★,
通州,环环宏远垂钓园,北京市通州区宋庄镇喇嘛村,走京通高速向东行驶至通燕高速，见到丁各庄出口后驶出该出口，进入宋庄之后一直向北走进入京榆路，行车2000米看见大兴庄路口左转进入喇嘛村即到。,,草鱼、鲤鱼、鲫鱼。周末100元/竿，平时80元/竿。,,在垂钓的同时可以看看自己养殖的珍珠鸡，去周边采摘草莓。,0.00 ,0.00 ,,4月～10月，营业时间早6:00～晚6:00,,,垂钓面积25亩，夏季垂钓时需要随身携带花露水，防止蚊虫叮咬。,13683093009,无,行车：★★★垂钓：★综合：★,
通州,王庄垂钓园,北京市通州区西集镇王庄村,走京哈高速行驶至郎府出口，出高速口后见到丁字路口左转进入政府路，之后见到第一个十字路左转向前行驶800米即到。,,草鱼12元/斤、鲤鱼10元/斤、鲫鱼12元/斤、青鱼12元/斤,,,0.00 ,0.00 ,,全年开放，营业时间早6:00～晚6:00,郎府派出所61558109,,夏季垂钓常备携带花露水，防止蚊虫叮咬。,13552272595,持本书消费，可以打9.5折。,行车：★★垂钓：★★综合：★,
通州,北京万信淡水鱼养殖场,北京市通州区西集镇前东仪村,京哈高速公路漷县出口向东18公里，看见西尹路标志后左转进入西尹路，之后前行1.5公里路左侧即到。,,草鱼10元/斤、鲤鱼10元/斤、罗非15元/斤、青鱼15元/斤、武昌鱼12元/斤、花鲢15元/斤、鲶鱼15元/斤,农家饭,,30.00 ,50.00 ,,3月中旬～11月中旬，营业时间早6:00～晚6:00,距离通州消防支队西集中队5分钟车程,,垂钓面积30亩，夏季垂钓随身携带花露水，避免蚊虫叮咬,010-61516059、13691432470、15810806733,无,行车：★★★垂钓：★★★餐饮：★★综合：★,
通州,运河农庄垂钓园,北京市通州区西集镇太平庄村,走京哈高速路行驶出漷县出口后，进入通香公路，见到第四个红绿灯右转行驶200米即到。,,草鱼12元/斤、鲤鱼12元/斤、鲫鱼12元/斤、青鱼20元/斤、鲶鱼20元/斤、撅嘴鲢25元/斤、猫鱼25元/斤、锦鲤25元/斤,垮炖鱼、菜团子、炖棒骨,菜团子,0.00 ,0.00 ,,全年开放，24小时营业,本园周边均有车辆维修地点，5分钟车程即到,,夏季垂钓常备携带花露水，防止蚊虫叮咬；想品尝菜团子的朋友们要早一点来，要不然就没有口福啦,13366068125  13601399622,,行车：★★★垂钓：★餐饮：★★综合：★,
通州,渔跃农庄,北京市北京市通州区张家湾镇施园村237号,"1、走京通高速出北苑后沿轻轨行驶转向103国道, 土桥路口左转， 第三个红绿灯右转，见六环高架桥不过左转，前行1000米第二路口左转， 竹门楼即到。　　　2、走京沈高速，出六环张家湾收费站最右边出来， 沿道直行上桥走京沈辅路，见涵洞左转，走800米左转，路北竹门楼即到。",四惠坐地铁八通线到临河里站下车， 电动车15元到场。,黑鱼20元/斤、草鱼17元/斤、鲫鱼16元/斤,农家饭,,0.00 ,0.00 ,,3月～10月，营业时间早8:00～晚10:00,,,夏天蚊虫较多、务必带上花露水和驱蚊药。娱乐项目非常丰富，包括垂钓、 金鱼观赏、养殖知识、金鱼文化馆免费参观、中小学知识实践园。,1370101858,持本书消费，可以打9.5折。,行车：★垂钓：★餐饮：★综合：★★,
通州,北京正通顺养殖有限公司（楼鑫园垂钓园）,北京市通州区六郎庄村,京津高速于家务出口出来后左转（张家湾方向）行驶2.3公里左转走漷马路（马驹桥方向）向西行驶2公里左侧看到六郎庄指示牌左转行驶1.3公里看到楼鑫园垂钓园指示牌即到。,四惠坐地铁八通线到土桥总站下车，坐801到牛堡屯南站下车。,草鱼 14元/斤 、鲤鱼 14元/斤、鲫鱼 16元/斤、罗非 18元/斤、白鲳 18元/斤,柴锅大公鸡、柴锅鱼、纯天然绿色无污染绿色食品、自助烧烤,,50.00 ,80.00 ,,3月～11月，24小时营业。,,,旺季请提前预约,13701263523,持本书消费，可以打9.5折。,行车：★★★垂钓：★★★★餐饮：★★综合：★★,
丰台,北京南宫温泉垂钓园,北京市丰台区王佐镇南宫村,京港澳高速，赵辛店出口，第一个红绿灯右拐，按路标指示10分钟即到或王佐南宫出口向北2公里即到。,,,,,0.00 ,0.00 ,,一年四季。,南宫温泉垂钓园位于南宫世界地热博览园内，该博览园有自己的保安、消防、及车辆维修等，十分便利。治安联系电话：83319522消防联系电话：83318031车辆维修电话：83315267,充足。,,010–83316029  13910741405,,行车：★★★★★垂钓：★★★★★餐饮：★★★★★住宿：★★★★★综合：★★★★★,
