序号,土地用途分区代码,土地用途分区名称
66536,205,现状河流水系
65537,205,现状河流水系
65538,205,现状河流水系
65539,205,现状河流水系
65540,205,现状河流水系
65541,205,现状河流水系
65542,205,现状河流水系
65543,205,现状河流水系
65544,205,现状河流水系
65545,205,现状河流水系
65546,205,现状河流水系
65547,205,现状河流水系
65548,205,现状河流水系
65549,205,现状河流水系
65550,205,现状河流水系
65551,205,现状河流水系
65552,205,现状河流水系
65553,205,现状河流水系
65554,205,现状河流水系
65555,205,现状河流水系
65556,205,现状河流水系
65557,205,现状河流水系
65558,205,现状河流水系
65559,205,现状河流水系
65560,205,现状河流水系
65561,205,现状河流水系
65562,205,现状河流水系
65563,205,现状河流水系
65564,205,现状河流水系
65565,205,现状河流水系
65566,205,现状河流水系
65567,205,现状河流水系
65568,205,现状河流水系
65569,205,现状河流水系
65570,205,现状河流水系
65571,205,现状河流水系
65572,205,现状河流水系
65573,205,现状河流水系
65574,205,现状河流水系
65575,205,现状河流水系
65576,205,现状河流水系
65577,205,现状河流水系
65578,205,现状河流水系
65579,205,现状河流水系
65580,205,现状河流水系
65581,205,现状河流水系
65582,205,现状河流水系
65583,205,现状河流水系
65584,205,现状河流水系
65585,205,现状河流水系
65586,205,现状河流水系
65587,205,现状河流水系
65588,205,现状河流水系
65589,205,现状河流水系
65590,205,现状河流水系
65591,205,现状河流水系
65592,205,现状河流水系
65593,205,现状河流水系
65594,205,现状河流水系
65595,205,现状河流水系
65596,205,现状河流水系
65597,205,现状河流水系
65598,205,现状河流水系
65599,205,现状河流水系
65600,205,现状河流水系
65601,205,现状河流水系
65602,205,现状河流水系
65603,205,现状河流水系
65604,205,现状河流水系
65605,205,现状河流水系
65606,205,现状河流水系
65607,205,现状河流水系
65608,205,现状河流水系
65609,205,现状河流水系
65610,205,现状河流水系
65611,205,现状河流水系
65612,205,现状河流水系
65613,205,现状河流水系
65614,205,现状河流水系
65615,205,现状河流水系
65616,205,现状河流水系
65617,205,现状河流水系
65618,205,现状河流水系
65619,205,现状河流水系
65620,205,现状河流水系
65621,205,现状河流水系
65622,205,现状河流水系
65623,205,现状河流水系
65624,205,现状河流水系
65625,205,现状河流水系
65626,205,现状河流水系
65627,205,现状河流水系
65628,205,现状河流水系
65629,205,现状河流水系
65630,205,现状河流水系
65631,205,现状河流水系
65632,205,现状河流水系
65633,205,现状河流水系
65634,205,现状河流水系
65635,205,现状河流水系
65636,205,现状河流水系
65637,205,现状河流水系
65638,205,现状河流水系
65639,205,现状河流水系
65640,205,现状河流水系
65641,205,现状河流水系
65642,205,现状河流水系
65643,205,现状河流水系
65644,205,现状河流水系
65645,205,现状河流水系
65646,205,现状河流水系
65647,205,现状河流水系
65648,205,现状河流水系
65649,205,现状河流水系
65650,205,现状河流水系
65651,205,现状河流水系
65652,205,现状河流水系
65653,205,现状河流水系
65654,205,现状河流水系
65655,205,现状河流水系
65656,205,现状河流水系
65657,205,现状河流水系
65658,205,现状河流水系
65659,205,现状河流水系
65660,205,现状河流水系
65661,205,现状河流水系
65662,205,现状河流水系
65663,205,现状河流水系
65664,205,现状河流水系
65665,205,现状河流水系
65666,205,现状河流水系
65667,205,现状河流水系
65668,205,现状河流水系
65669,205,现状河流水系
65670,205,现状河流水系
65671,205,现状河流水系
65672,205,现状河流水系
65673,205,现状河流水系
65674,205,现状河流水系
65675,205,现状河流水系
65676,205,现状河流水系
65677,205,现状河流水系
65678,205,现状河流水系
65679,205,现状河流水系
65680,205,现状河流水系
65681,205,现状河流水系
65682,205,现状河流水系
65683,205,现状河流水系
65684,205,现状河流水系
65685,205,现状河流水系
65686,205,现状河流水系
65687,205,现状河流水系
65688,205,现状河流水系
65689,205,现状河流水系
65690,205,现状河流水系
65691,205,现状河流水系
65692,205,现状河流水系
65693,205,现状河流水系
65694,205,现状河流水系
65695,205,现状河流水系
65696,205,现状河流水系
65697,205,现状河流水系
65698,205,现状河流水系
65699,205,现状河流水系
65700,205,现状河流水系
65701,205,现状河流水系
65702,205,现状河流水系
65703,205,现状河流水系
65704,205,现状河流水系
65705,205,现状河流水系
65706,205,现状河流水系
65707,206,规划河流水系
65708,206,规划河流水系
65709,206,规划河流水系
65710,206,规划河流水系
65711,206,规划河流水系
65712,206,规划河流水系
65713,206,规划河流水系
65714,206,规划河流水系
65715,206,规划河流水系
65716,206,规划河流水系
65717,206,规划河流水系
65718,206,规划河流水系
65719,206,规划河流水系
65720,206,规划河流水系
65721,206,规划河流水系
65722,206,规划河流水系
65723,206,规划河流水系
65724,206,规划河流水系
65725,206,规划河流水系
65726,206,规划河流水系
65727,206,规划河流水系
65728,206,规划河流水系
65729,206,规划河流水系
65730,206,规划河流水系
65731,206,规划河流水系
65732,206,规划河流水系
65733,206,规划河流水系
65734,206,规划河流水系
65735,206,规划河流水系
65736,206,规划河流水系
65737,206,规划河流水系
65738,206,规划河流水系
65739,206,规划河流水系
65740,206,规划河流水系
65741,206,规划河流水系
65742,206,规划河流水系
65743,206,规划河流水系
65744,206,规划河流水系
65745,206,规划河流水系
65746,206,规划河流水系
65747,206,规划河流水系
65748,206,规划河流水系
65749,206,规划河流水系
65750,206,规划河流水系
65751,206,规划河流水系
65752,206,规划河流水系
65753,206,规划河流水系
65754,206,规划河流水系
65755,206,规划河流水系
65756,206,规划河流水系
65757,206,规划河流水系
65758,206,规划河流水系
65759,206,规划河流水系
65760,206,规划河流水系
65761,206,规划河流水系
65762,206,规划河流水系
65763,206,规划河流水系
65764,206,规划河流水系
65765,206,规划河流水系
65766,206,规划河流水系
65767,206,规划河流水系
65768,206,规划河流水系
65769,206,规划河流水系
65770,206,规划河流水系
65771,206,规划河流水系
65772,206,规划河流水系
65773,206,规划河流水系
65774,206,规划河流水系
65775,206,规划河流水系
65776,206,规划河流水系
65777,206,规划河流水系
65778,206,规划河流水系
65779,206,规划河流水系
65780,206,规划河流水系
65781,206,规划河流水系
65782,206,规划河流水系
65783,206,规划河流水系
65784,206,规划河流水系
65785,206,规划河流水系
65786,206,规划河流水系
65787,206,规划河流水系
65788,206,规划河流水系
65789,206,规划河流水系
65790,206,规划河流水系
65791,206,规划河流水系
65792,206,规划河流水系
65793,206,规划河流水系
65794,206,规划河流水系
65795,206,规划河流水系
65796,206,规划河流水系
65797,206,规划河流水系
65798,206,规划河流水系
65799,206,规划河流水系
65800,206,规划河流水系
65801,206,规划河流水系
65802,206,规划河流水系
65803,206,规划河流水系
65804,206,规划河流水系
65805,206,规划河流水系
65806,206,规划河流水系
65807,206,规划河流水系
65808,206,规划河流水系
65809,206,规划河流水系
65810,206,规划河流水系
65811,206,规划河流水系
65812,206,规划河流水系
65813,206,规划河流水系
65814,206,规划河流水系
65815,206,规划河流水系
65816,206,规划河流水系
65817,206,规划河流水系
65818,206,规划河流水系
65819,206,规划河流水系
65820,206,规划河流水系
65821,206,规划河流水系
65822,206,规划河流水系
65823,206,规划河流水系
65824,206,规划河流水系
65825,206,规划河流水系
65826,206,规划河流水系
65827,206,规划河流水系
65828,206,规划河流水系
65829,206,规划河流水系
65830,206,规划河流水系
65831,206,规划河流水系
65832,206,规划河流水系
65833,206,规划河流水系
65834,206,规划河流水系
65835,206,规划河流水系
65836,206,规划河流水系
65837,206,规划河流水系
65838,206,规划河流水系
65839,206,规划河流水系
65840,206,规划河流水系
65841,206,规划河流水系
65842,206,规划河流水系
65843,206,规划河流水系
65844,206,规划河流水系
65845,206,规划河流水系
65846,206,规划河流水系
65847,206,规划河流水系
