名称,地址,电话
高碑店村,北京市朝阳区高碑店乡高碑店村1358号,13651348956
车耳营村,北京市海淀区苏家坨镇车耳营村,62406697、62468677
南宫民俗村,北京市丰台区王佐镇南宫民俗村,83316334
御景山庄民俗村,北京市丰台区长辛店镇御景山庄民俗,83884325
爨底下村,北京市门头沟区斋堂镇爨底下村,69819333
柏峪村,北京市门头沟区斋堂镇柏峪村,15910260516
向阳口村,北京市门头沟区斋堂镇向阳口村,13241308848
碣石村,北京市门头沟区雁翅镇碣石村,61839171
高台村,北京市门头沟区雁翅镇高台村,61837182
岭角村,北京市门头沟区妙峰山镇岭角村,61884642、61884930
涧沟村,北京市门头沟区妙峰山镇涧沟村,61882920
炭厂村,北京市门头沟区妙峰山镇炭厂村,61884638
黄土台村,北京市门头沟区妙峰山镇黄土台村,61884098
洪水口村,北京市门头沟区清水镇洪水口村,61827663
江水河村,北京市门头沟区清水镇江水河村,13801062581
八亩堰村,北京市门头沟区清水镇八亩堰村,60856075、61856249
赵家台村,北京市门头沟区潭柘寺镇赵家台村,60861777
平原村,北京市门头沟区潭柘寺镇平原村,60863160
东马各庄村,北京市门头沟区王平镇东马各庄村,61859441
韭园村,北京市门头沟区王平镇韭园村,61857608、61859464
西庄村,北京市房山区十渡镇西庄村,61349428
九渡村,北京市房山区十渡镇九渡村,61340830
七渡村,北京市房山区十渡镇七渡村,61340134
西河村,北京市房山区十渡镇西河村,61347969
五合村,北京市房山区十渡镇五合村,61344725
西关上村,北京市房山区十渡镇西关上村,61344545
穆家口村,北京市房山区张坊镇穆家口村,61344049
东关上村,北京市房山区张坊镇东关上村,61336256
千河口村,北京市房山区张坊镇千河口村,61339848
寺尚村,北京市房山区大安山乡寺尚村,60373974
韩村河村,北京市房山区韩村河镇韩村河村,80380015、80389865
中英水村,北京市房山区佛子庄乡中英水村,60363378、60363218
半壁店村,北京市房山区河北镇半壁店村,60311652、60312242
东港村,北京市房山区河北镇东港村,60370886
堂上村,北京市房山区霞云岭乡堂上村,60367384、60368194
上石堡村,北京市房山区霞云岭乡上石堡村,60367359
四马台村,北京市房山区霞云岭乡四马台村,60369037、60368170
北甘池村,北京市房山区长沟镇北甘池村,61360584
东甘池村,北京市房山区长沟镇东甘池村,61366108
宝水村,北京市房山区蒲洼乡宝水村,61348664
水峪村,北京市房山区南窖乡水峪村,60375952
车厂村,北京市房山区周口店镇车厂村,69300237
水头村,北京市房山区大石窝镇水头村,61389096
下庄村,北京市房山区大石窝镇下庄村,61381627
三岔村,北京市房山区大石窝镇三岔村,61389090
南河村,北京市房山区大石窝镇南河村,61385407
大营旅游度假村,北京市通州区潞城镇大营村,89582543
皇木厂村,北京市通州区张家湾镇皇木厂村,61562763
大邓村,北京市通州区宋庄镇大邓村,13381022500
焦庄户村,北京市顺义区龙湾屯镇焦庄户村,60461100、60461250
柳庄户村,北京市顺义区龙湾屯镇柳庄户村,60465999
北郎中村,北京市顺义区赵全营镇北郎中村,60434371
于地村,北京市顺义区北务镇于地村,61422759
麻峪房子民俗村,北京市昌平区长陵镇麻峪房子村,89721014、89722205
黄泉寺村,北京市昌平区长陵镇黄泉寺村,60761193
下口村,北京市昌平区长陵镇下口村,89721131
碓臼峪村,北京市昌平区长陵镇碓臼峪村,89721727
东水峪村,北京市昌平区长陵镇东水峪村,60762534
康陵村,北京市昌平区长陵镇康陵村,89722119
德陵民俗村,北京市昌平区长陵镇德陵村,60761704
百合村,北京市昌平区兴寿镇百合村,89726442
西湖民俗村,北京市昌平区兴寿镇西湖民俗村,89726049
花果山民俗村,北京市昌平区兴寿镇花果山民俗村,89726445
湖门民俗村,北京市昌平区兴寿镇湖门村,89726042、89726285
酸枣岭村,北京市昌平区小汤山镇酸枣岭村,61713032
长峪城村,北京市昌平区流村镇长峪城村,80192955
菩萨鹿村,北京市昌平区流村镇菩萨鹿村,89778584
瓦摇村,北京市昌平区流村镇瓦摇村,89779693
漆园村,北京市昌平区流村镇漆园村,89778234
北照台村,北京市昌平区流村镇北照台村,89778426
香堂村,北京市昌平区崔村镇香堂村,60725827
郑各庄村,北京市昌平区北七家镇郑各庄村,61784343
羊台子民俗村,北京市昌平区南口镇羊台子村,89791384
天龙潭村,北京市昌平区南口镇天龙潭村,69778314、69779037
白羊城民俗村,北京市昌平区流村镇白羊城村,89771020
真顺村,北京市昌平区崔村镇真顺村,60725177、60721032
留民营村,北京市大兴区长子营镇留民营村,80266005
北簿洲村,北京市大兴区长子营镇北簿洲营村,80265678
西黄垡村,北京市大兴区榆垡镇西黄垡村,89213363
刘家堡村,北京市大兴区榆垡镇刘家堡村,13240786624
辛安庄村,北京市大兴区榆垡镇辛安庄村,13641280585
东二营村,北京市大兴区采育镇东营二村,80272549
大皮营二村,北京市大兴区采育镇大皮营二村,80209184
山西营村,北京市大兴区采育镇山西营村,13718191230
大黑垡村,北京市大兴区采育镇大黑垡村,80273611
笸箩庄村,北京市大兴区采育镇笸箩庄村,80273611
梨花村,北京市大兴区庞各庄镇梨花村,89288545
巴园子村,北京市大兴区北臧村镇巴园子村,60276120
黄草洼村,北京市平谷区金海湖镇黄草洼村,60982534、60982610
海子村,北京市平谷区金海湖镇海子村,69992845
韩庄村,北京市平谷区金海湖镇韩庄村,69991283
将军关村,北京市平谷区金海湖镇将军关村,60986564
红石门村,北京市平谷区金海湖镇红石门村,60985182
黑水湾村,北京市平谷区金海湖镇黑水湾村,60987080
雕窝村,北京市平谷区黄松峪乡雕窝村,60987627
梨树沟村,北京市平谷区黄松峪乡梨树沟村,60989286
塔洼村,北京市平谷区黄松峪乡塔洼村,60988607
鱼子山村,北京市平谷区山东庄镇鱼子山村,60968938
挂甲峪村,北京市平谷区大华山镇挂甲峪村,61947321
苏子峪村,北京市平谷区大华山镇苏子峪村,13910575052
泉水峪村,北京市平谷区大华山镇泉水峪村,61948649
东辛撞村,北京市平谷区大华山镇东辛撞村,15811256196
东沟村,北京市平谷区熊尔寨乡东沟村,61962948
老泉口村,北京市平谷区熊尔寨乡老泉口村,61961334
太后村,北京市平谷区王辛庄镇太后村,69919714
北太平庄村,北京市平谷区王辛庄镇北太平庄村,89956090
东四道岭村,北京市平谷区镇罗营镇东四道岭村,61969583
玻璃台村,北京市平谷区镇罗营镇玻璃台村,61966219
北寨村,北京市平谷区南独河镇北寨村,60966420
淘金谷欢乐农家,北京市平谷区大兴庄镇人民政府旅游办,60988629
东山下村,北京市平谷区刘家店镇东山下村,13552572744
行宫村,北京市平谷区刘家店镇行宫村,61973099
前吉山村,北京市平谷区刘家店镇前吉山村,61974058
北宅村,北京市怀柔区桥梓镇北宅村,60671877
新王峪村,北京市怀柔区桥梓镇新王峪村,60636156
上王峪村,北京市怀柔区桥梓镇上王峪村,60636484
卢庄村,北京市怀柔区怀柔镇卢庄村,60681241
甘涧峪村,北京市怀柔区怀柔镇甘涧峪村,89601400、13716022118
东帽湾村,北京市怀柔区汤河口镇东帽湾村,89671237
