工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
新园区8标段（体育中心、礼堂）,中国科学院大学,北京城建集团有限责任公司,0893怀竣2016(建)0026号,怀柔区住房城乡建设委,2016/10/31
C-2#住宅楼等6项（昌平区沙河镇南一村二类居住用地（配建限价商品住房）项目）,北京润诚嘉信置业有限公司,北京城建二建设工程有限公司-广州富利建筑安装工程有限公司,0892昌竣2016(建)0083号,昌平区住房城乡建设委,2016/10/31
C-1#住宅楼等2项（昌平区沙河镇南一村二类居住用地（配建限价商品住房）项目）,北京润诚嘉信置业有限公司,北京城建二建设工程有限公司-广州富利建筑安装工程有限公司,0891昌竣2016(建)0082号,昌平区住房城乡建设委,2016/10/31
蓝河湾住宅小区二期1组团14#楼、15#楼，2组团1#楼、2#楼、3#楼、4#楼、5#楼、6#楼及8#楼工程,北京首都机场太扬置业有限公司,中航建设集团有限公司,0890密竣2016(建)0028号,密云县住房城乡建设委,2016/10/31
航天新长征电动汽车技术有限公司产业化基地建设项目（三标段：总装车间）,航天新长征电动汽车技术有限公司,北京航天万源建筑工程有限责任公司,0889大竣2016(建)0103号,大兴区住房城乡建设委,2016/10/31
航天新长征电动汽车技术有限公司产业化基地建设项目（二标段：机加工综合车间及门卫室）,航天新长征电动汽车技术有限公司,北京城乡中昊建设有限责任公司,0888大竣2016(建)0102号,大兴区住房城乡建设委,2016/10/31
航天新长征电动汽车技术有限公司产业化基地建设项目（一标段：电装车间及辅料库房）,航天新长征电动汽车技术有限公司,北京航天万源建筑工程有限责任公司,0887大竣2016(建)0101号,大兴区住房城乡建设委,2016/10/31
万隆酒店东北楼装修工程,北京贯通经贸集团,北京新忠记巍明建筑装饰工程有限公司,0175西竣2016(装)0062号,西城区住房城市建设委,2016/10/28
49-16#办公楼（门头沟区永定镇MC00-0020-0031、0049地块F1住宅混合公建用地(配建经济适用房）（门头沟东辛秤C地块东区））,北京中铁东兴房地产开发有限公司,中铁建工集团有限公司,0886门竣2016(建)0040号,门头沟区住房城乡建设委,2016/10/28
31-1#办公楼（门头沟区永定镇MC00-0020-0031、0049地块F1住宅混合公建用地(配建经济适用房）（门头沟东辛秤C地块东区））,北京中铁东兴房地产开发有限公司,中铁航空港建设集团北京有限公司,0885门竣2016(建)0039号,门头沟区住房城乡建设委,2016/10/28
博士后科研创新孵化基地项目3#厂房,中安欧尚投资股份有限公司,中国建筑土木建设有限公司,0884通竣2016(建)0105号,通州区住房城乡建设委,2016/10/27
(北京惠鸿盛隆国际贸易有限公司）车间（工业厂房及配套设施项目）,北京惠鸿盛隆国际贸易有限公司,河北省建材建设有限公司,0883通竣2016(建)0104号,通州区住房城乡建设委,2016/10/27
G135地块工业厂房及配套设施项目9-1#厂房等25项（G135地块工业厂房及配套设施项目）（9-1#厂房等12项）,北京经开光谷置业有限公司,河北建设集团有限公司,0882通竣2016(建)0103号,通州区住房城乡建设委,2016/10/27
C1、C2、C4、C5、C7-C10住宅及地下车库A标段,北京兴昌达博房地产开发有限公司,北京市昌平一建建筑有限责任公司,0881昌竣2016(建)0081号,昌平区住房城乡建设委,2016/10/27
凯德MALL望京外立面装修项目,北京凯德嘉茂望京房地产经营管理有限公司,北京弘高建筑装饰设计工程有限公司,0174朝竣2016(装)0166号,朝阳区住房城乡建设委,2016/10/27
京东方B38研发中心（京东方B38研发中心）,京东方科技集团股份有限公司,中建一局集团第五建筑有限公司,0880朝竣2016(建)0165号,朝阳区住房城乡建设委,2016/10/27
1#科研办公楼等2项（中关村科技园区电子城西区A10-2地块项目）工程,北京东方国信科技股份有限公司,北京市北协建设工程公司,0879朝竣2016(建)0164号,朝阳区住房城乡建设委,2016/10/27
石景山区铸造村集资建房遗留项目3号楼等2项,首钢总公司,北京首钢建设集团有限公司,0878石竣2016(建)0027号,石景山区住房城乡建设委,2016/10/27
石景山区铸造村集资建房遗留项目1号住宅楼等7项（1号住宅楼、8号住宅楼）,首钢总公司,北京大龙建设集团有限公司,0877石竣2016(建)0026号,石景山区住房城乡建设委,2016/10/27
石景山区铸造村集资建房遗留项目1号住宅楼等7项（5号住宅楼、6号住宅楼、地下车库）,首钢总公司,北京首钢建设集团有限公司,0876石竣2016(建)0025号,石景山区住房城乡建设委,2016/10/27
D栋住宅楼（自住型商品房）等4项（朝阳区百子湾路14号住宅混合公建项目）,北京建工置地有限责任公司,北京建工四建工程建设有限公司,0875朝竣2016(建)0163号,朝阳区住房城乡建设委,2016/10/27
A栋公建等3项（朝阳区百子湾路14号住宅混合公建项目）,北京建工置地有限责任公司,北京建工四建工程建设有限公司,0874朝竣2016(建)0162号,朝阳区住房城乡建设委,2016/10/27
招商上苑1#住宅楼等5项,招商局地产（北京）有限公司,中建三局集团有限公司,0873朝竣2016(建)0161号,朝阳区住房城乡建设委,2016/10/27
1#-A座办公楼等7项（北京市大兴区清城商业中心建设工程项目）,北京龙熙房地产开发有限责任公司,江苏金坛建工集团有限公司,0872大竣2016(建)0100号,大兴区住房城乡建设委,2016/10/27
