名称,地址,星级,区（县）,电话
北京丽晶酒店,金宝街99号,五星,东城区,85221888
港澳中心瑞士酒店,朝阳门北大街2号,五星,东城区,65532288
华侨大厦,王府井大街2号,五星,东城区,58169999
北京东方君悦大酒店,东长安街一号,五星,东城区,85181234
天伦王朝酒店,王府井大街50号,五星,东城区,58168888
首都大酒店,前门东大街3号,五星,东城区,58159988
汉华国际饭店,安定门外西滨河路26号,五星,东城区,58139988
国际艺苑皇冠假日酒店,王府井大街48号,五星,东城区,59119999
北京国际饭店,建国门内大街9号,五星,东城区,65126688
好苑建国酒店,建国门内大街17号,五星,东城区,65286666
北京万豪酒店,建国门南大街7号,五星,东城区,58118888
贵宾楼饭店,东长安街35号,五星,东城区,65137788
北京饭店,东长安街33号,五星,东城区,65137766
王府半岛酒店,金鱼胡同8号,五星,东城区,85162888
励骏酒店,金宝街90-92号,五星,东城区,85113388
金隅喜来登酒店,北三环东路36号院,五星,东城区,57988888
国宾酒店,阜外大街甲9号,五星,西城区,58585588
金融街威斯汀大酒店,金融大街乙9号,五星,西城区,66068866
金融街丽思卡尔顿酒店,金城坊东街1号,五星,西城区,66016666
金融街洲际酒店,金融街11号,五星,西城区,58525888
名人国际大酒店,安立路99号,五星,朝阳区,58651166
伯豪瑞廷酒店,光华路15号院-3号楼,五星,朝阳区,85885588
北京希尔顿酒店,东三环北路东方路一号,五星,朝阳区,58655000
北京万达索菲特大饭店,建国路93号c座,五星,朝阳区,85996666
兆龙饭店,工体北路2号,五星,朝阳区,65972299
长富宫饭店,建国门外大街26号,五星,朝阳区,58775555
新云南皇冠假日酒店,东北三环七圣中街12号,五星,朝阳区,64298888
嘉里大酒店,光华路1号,五星,朝阳区,65618833
北京瑞吉酒店,建国门外大街21号,五星,朝阳区,64606688
长城饭店,东三环北路10号,五星,朝阳区,65905566
昆泰嘉华酒店,朝外大街乙12号,五星,朝阳区,58285588
千禧大酒店,东三环中路7号,五星,朝阳区,85876888
北辰洲际酒店,北辰西路8号院4号楼,五星,朝阳区,84371188
长安大饭店,华威里27号,五星,朝阳区,67731234
北京凯宾斯基饭店,亮马桥路50号,五星,朝阳区,64653388
五洲皇冠国际酒店,北四环中路8号,五星,朝阳区,84982288
中国大饭店,建外大街1号,白金五星,朝阳区,65052266
昆仑饭店,新源南路2号,五星,朝阳区,65903388
国航万丽酒店,霄云路36号,五星,朝阳区,64689999
金茂威斯汀大饭店,东三环北路7号,五星,朝阳区,59228888
丽景湾国际酒店,东四环十里堡北里28号,五星,朝阳区,85858888
中奥马哥孛罗大酒店,安立路78号,五星,朝阳区,59636688
国贸大酒店,建外大街1号,五星,朝阳区,65052299
康源瑞廷酒店,潘家园南里19号,五星,朝阳区,59097777
富力万丽酒店,朝阳区东三环中路61号,五星,朝阳区,58638888
鹏润国际大酒店,霄云路26号鹏润大厦A座,五星,朝阳区,51086688
北大博雅国际酒店,中关村北大街127号,五星,海淀区,82689999
新世纪日航饭店,首都体育馆南路6号,五星,海淀区,68492001
中关村皇冠假日酒店,知春路106号,五星,海淀区,59938888
世纪金源香山商旅酒店,北正黄旗59号,五星,海淀区,59898888
西苑饭店,三里河路一号,五星,海淀区,68313388
京都信苑饭店,什坊院6号,五星,海淀区,63901166
友谊宾馆贵宾楼,中关村南大街1号,五星,海淀区,68498888
北京香格里拉饭店,紫竹院路29号,五星,海淀区,68412211
世纪金源大饭店,板井路69号,五星,海淀区,88598888
南宫温泉度假酒店,王佐镇福宫路39号,五星,丰台区,83315566
西国贸大酒店,丰管路16号8号楼,五星,丰台区,83832222
和园景逸大酒店,后沙峪镇裕民大街2号,五星,顺义区,69457777
瑞麟湾温泉度假酒店,顺平辅线39号,五星,顺义区,89468899
龙城丽宫国际酒店,昌平路317号,五星,昌平区,80799988
九华国际会展中心,小汤山镇葫芦河村北,五星,昌平区,61782288
龙熙温泉度假酒店,庞各庄镇顺景路8号,五星,大兴区,89282222
丰大国际大酒店,亦庄荣华中路20号,五星,大兴区,67518888
瑞海姆田园度假村,西大桥路2号,五星,密云县,89098888
金龙建国温泉酒店,建国门南大街5号,四星,东城区,65286688
东方花园饭店,东直门南大街6号,四星,东城区,64168866
北京丽亭酒店,金宝街97号,四星,东城区,85221999
天伦松鹤大饭店,灯市口大街88号,四星,东城区,58168999
鑫海锦江大酒店,金宝街61号,四星,东城区,58163388
凤展大酒店,安定门外大街乙57号,四星,东城区,84139999
新侨饭店,东交民巷2号,四星,东城区,65133366
敦煌飞天商贸大厦,广渠门外南街5号,四星,东城区,67778000
宝辰饭店,建国门内大街甲18号,四星,东城区,65266688
和平宾馆,金鱼胡同3号,四星,东城区,65128833
保利大厦,东直门南大街14号,四星,东城区,65001188
天坛饭店,体育馆路1号,四星,东城区,67190666
宁夏大厦,安定门内大街分司厅胡同,四星,东城区,64009999
北方佳苑饭店,王府井大街218-1号,四星,东城区,65238888
翠明庄宾馆,南河沿大街1号,四星,东城区,58580909
内蒙古大厦,崇文门内大街2号,四星,东城区,65186666
翔达国际商务酒店,广安门内大街169号,四星,西城区,83172288
港中旅维景国际大酒店,广安门内大街338号,四星,西城区,83529999
西单美爵酒店,宣武门内大街6号,四星,西城区,66036688
建通酒店,广莲路甲5号,四星,西城区,63986611
国宏宾馆,木樨地北里甲11号,四星,西城区,63908866
中国职工之家,真武庙路一号,四星,西城区,68576699
前门饭店,永安路175号,四星,西城区,63016688
深圳大厦,广安门外大街1号,四星,西城区,63271188
民族饭店,复兴门内大街51号,四星,西城区,66014466
国谊宾馆,文兴东街1号国谊宾馆,四星,西城区,68316611
北京广州大厦,西单横二条甲3号,四星,西城区,58559988
金都假日饭店,北礼士路98号,四星,西城区,68338822
国二招宾馆,西直门南大街6号,四星,西城区,66186688
金台饭店,地安门西大街38号,四星,西城区,66529988
德宝饭店,德宝新园22号,四星,西城区,68318866
新大都饭店,车公庄大街21号,四星,西城区,68319988
金色夏日商务酒店,西便门内大街85号,四星,西城区,63012999
华膳园温泉饭店,高碑店乡小郊亭村东1376号,四星,朝阳区,87739999
建国饭店,建国门外大街5号,四星,朝阳区,65002233
艾维克酒店,东环南路2号,四星,朝阳区,65661188
渔阳饭店,新源西里中街18号,四星,朝阳区,64669988
丽都维景酒店,将台路6号,四星,朝阳区,64376688
赛特饭店,建国门外大街22号,四星,朝阳区,65123388
西藏大厦,北四环东路118号,四星,朝阳区,64981133
外国专家大厦,北四环中路华严北里8号院,四星,朝阳区,82858888
光明饭店,亮马桥路42号院,四星,朝阳区,84418888
船舶重工酒店,东三环南路100号,四星,朝阳区,67353366
五环大酒店,东三环南路15号,四星,朝阳区,67626655
北京广西大厦,潘家园华威里26号,四星,朝阳区,67796688
京伦饭店,建国门外大街3号,四星,朝阳区,65002266
皇家大饭店,北三环东路甲六号,四星,朝阳区,59223388
国贸饭店,建国门外大街1号,四星,朝阳区,65052277
元辰鑫国际酒店,裕民路12号,四星,朝阳区,82024488
福建大厦,安贞西里三区11号,四星,朝阳区,64428833
强强国际商务酒店,东三环南路102号,四星,朝阳区,87385588
亮马河大厦,东三环北路8号,四星,朝阳区,65906688
五洲大酒店,北辰东路8号,四星,朝阳区,84985588
北京河南大厦,潘家园华威里28号,四星,朝阳区,67751188
亚奥国际酒店,大屯路甲一号,四星,朝阳区,64874433
龙爪树宾馆,小红门龙爪树312号,四星,朝阳区,87699988
人济万怡酒店,京顺路101号,四星,朝阳区,59076666
方恒假日酒店,望京阜通东大街6号院3号楼,四星,朝阳区,64733333
新大宗饭店,麦子店街58号,四星,朝阳区,65068888
珀丽酒店,将台西路8号,四星,朝阳区,59602288
上东盛贸饭店,东四环北路2号,四星,朝阳区,59078888
贵州大厦,和平西桥樱花西街18号,四星,朝阳区,58109988
锡华海体商务酒店,西苑操场15号,四星,海淀区,62646688
新疆饭店,三里河路7号,四星,海淀区,68335599
西郊宾馆,王庄路18号,四星,海淀区,62322288
金龙潭大饭店,西三环北路七十一号,四星,海淀区,88811188
紫光国际交流中心,中关村东路一号院,四星,海淀区,62791888
香山饭店,香山公园内,四星,海淀区,62591166
中苑宾馆,高梁桥斜街18号,四星,海淀区,51568888
中裕世纪大酒店,莲花池东路31号,四星,海淀区,63989999
紫金丽亭酒店,西翠路17号,四星,海淀区,68130088
梅地亚中心,复兴路乙11号,四星,海淀区,68514422
金泰海博大酒店,西四环北路136号,四星,海淀区,88461188
铁道大厦,北蜂窝102号,四星,海淀区,51879199
永兴花园饭店,阜城路101号,四星,海淀区,88111188
燕山大酒店,中关村大街甲38号,四星,海淀区,62563388
皇苑大酒店,西三环北路厂洼十九号,四星,海淀区,68413388
景明园宾馆,香山正白旗52号,四星,海淀区,62871117
首农香山会议中心,香山北辛村28号,四星,海淀区,62598788
海淀花园饭店,花园东路30号,四星,海淀区,62011188
友谊宾馆,中关村南大街1号,四星,海淀区,68498888
万寿宾馆,万寿路甲12号,四星,海淀区,68132266
长峰假日酒店,永定路50号,四星,海淀区,68132299
海润酒店,海淀南路36号,四星,海淀区,82669999
丽亭华苑酒店,知春路25号,四星,海淀区,82356699
金码大酒店,学清路甲38号,四星,海淀区,62328899
湖北大厦,中关村南大街36号,四星,海淀区,62172288
中土大厦,北蜂窝6号,四星,海淀区,51818888
大方饭店,西客站南广场东侧,四星,丰台区,63362288
南粤苑宾馆,南三环西路86号,四星,丰台区,58053333
北京江西大酒店,东铁匠营横一条8号,四星,丰台区,67608866
北京商务会馆,右安门外玉林里1号,四星,丰台区,63292244
建银饭店,西站南路2号,四星,丰台区,63266633
好特热国际商务会馆,方庄芳星园二区十二号,四星,丰台区,67655777
中成天坛假日酒店,定安东里1号,四星,丰台区,67626688
万方苑国际酒店,南三环西路4号院1号楼,四星,丰台区,67526666
万商花园酒店,银河大街一号万商花园酒店,四星,石景山,68681199
通州运河苑渡假村,宋庄镇白庙村,四星,通州区,89579999
月亮河温泉假日度假村,东关大桥东月亮河河滨路,四星,通州区,89523737
亚太花园酒店,玉桥西路103号,四星,通州区,81528822
国都大饭店,首都国际机场小天竺路9号,四星,顺义区,64565588
金宝花园酒店,马坡镇金宝会馆1103号,四星,顺义区,69406060
京林空港培训中心,首都机场南平东里乙1号,四星,顺义区,64572626
顺鑫中盛会议中心,李遂镇西,四星,顺义区,89485588
丰荣君华酒店,首都机场国门商务区李天路,四星,顺义区,81463366
春晖园温泉度假酒店,高丽营镇高泗路37号,四星,顺义区,69454433
东方嘉宾国际酒店,仁和镇东方太阳城社区,四星,顺义区,89431700
蟒山旅游度假村,南邵镇蟒山路8号,四星,昌平区,60713899
居庸关长城古客栈,南口镇居庸关内,四星,昌平区,69778888
金隅凤山温泉度假村,蟒山路10号,四星,昌平区,60711188
静之湖度假酒店,兴寿镇桃峪口,四星,昌平区,61709988
汤山假日会议中心,小汤山镇中心街西端,四星,昌平区,61785522
拉斐特城堡酒店,北七家镇拉斐特城堡酒店,四星,昌平区,89758866
昆泰嘉禾酒店,回龙观西大街107号,四星,昌平区,59910088
温都水城国际酒店,宏福创业园,四星,昌平区,81788888
富来宫温泉山庄,小汤山镇大柳树环岛北,四星,昌平区,61785588
阳坊大都饭店,阳坊镇西贯市村,四星,昌平区,69768880
石油阳光会议中心,昌平区长陵镇锥石口村北,四星,昌平区,89721468
星明湖度假村,魏善庄镇刘家场村南400米,四星,大兴区,89231818
尚都凯瑞国际酒店,黄村镇兴丰大街三段60号,四星,大兴区,69259999
斯博瑞饭店,旧宫镇南小街吉畅路2号,四星,大兴区,67991919
大兴宾馆,兴丰大街三段118号,四星,大兴区,69242356
云泽山庄,张坊镇穆家口村北,四星,房山区,61344666
天湖会议中心,青龙湖镇小苑上村150号,四星,房山区,60322266
昊天假日酒店,良乡拱辰北大街1号,四星,房山区,89350800
汇豪国际酒店,窦店镇窦大路甲8号,四星,房山区,69399999
龙泉宾馆,水闸北路21号,四星,门头沟,69843366
