编号,区县,街乡,名称,地址,电话,联系人,特色文化,简介
1,海淀区,温泉镇,白家疃村,北京市海淀区温泉镇白家疃村,,,,白家疃村位于海淀区北部温泉镇中心地带，村域面积11.2平方公里。
2,门头沟区,斋堂镇,柏峪村,北京市门头沟区斋堂镇柏峪村,69816719,刘景旺,柏峪是一个文物众多、历史悠久的地方。当地的豆腐席、南瓜席、野味席，可谓世间少有。尤其是野味丸子、农家的南味扣肉、糗糕米饭、压饸烙更具特色。,柏峪村位于门头沟区斋堂镇北12公里，是京西古道上的一个集观光、旅游、住宿、就餐、度假、休闲、民俗娱乐和革命传统教育于一体的旅游度假村。2008奥运之年，柏峪村进行了大规模村内基础设施改造，进行了全面的民俗接待户改造，申办为市级民俗旅游村，其丰富的文化内涵、众多的文物、美丽的自然风光、古老的民居，尤其是古老的山区民俗民风，让人流连忘返。柏峪村现有市级民俗旅游接待户53户，区级接待户4户，食宿卫生条件好，农家饭特色鲜香，特产为柏峪扁、黄芩茶等。据民间传说，8000年前就有所谓柏峪原始人之说。战国时期秦灭燕，即派大将王翦，从大同经黄草梁下沿河。有文字可考的是元代，蒙古骑兵从黄草梁、天津关下沿河城。到明代，这里就成了军事重镇。古戏之乡。柏峪的传统食品一般是粗粮细做，加以当地蔬菜，过去的看家菜主要为酸菜和咸菜两种，这里的菜没有污染，水又洁净，因此，酸而不坏，恰到好处。
3,门头沟区,潭柘寺镇,赵家台村,北京市门头沟区潭柘寺镇赵家台村,60861777,孙小军,编织、刺绣、紫石雕刻等民间手工艺,赵家台村位于京西潭柘寺镇，村内有市级民俗旅游接待户57户，可同时容纳300人住宿、就餐。游客在赵家台村既能感受老村古朴的文化，又能领略新村巨变。老村内现存有明清时期的古地道，五百余年的古宅老院等；新村的乡间别墅，让你感受农村现代化后的巨变。在赵家台村，不但能够品尝农家饭菜，体验采摘的喜悦，还可以向村民学习编织、刺绣、紫石雕刻等民间手工艺。晚间还有篝火晚会，欣赏由农民群众组织的农民艺术团的精彩演出。
4,门头沟区,妙峰山镇,炭厂村,北京市门头沟区妙峰山镇炭厂村,61884638,,,炭厂村位于妙峰山镇上苇甸，是一个山高沟阔、植被繁茂、环境优美的村庄，距北京45公里，为市级民俗旅游接待村。村内景色秀丽，林木覆盖率79.58%，民居依山而建，红墙碧瓦与绿树红花相映；蓝天笼罩四野，绿水村中流淌；街道宽敞干净，民居错落有致，造型各异；白天鸟语花香，夜晚恬适宁静，尽显恬静与现代文明交融之美。村内拥有完善的民俗旅游接待设施，是游客亲身体验纯朴农家生活的上选之所。
5,顺义区,北务镇,于地村,北京市顺义区北务镇于地村,61422759,邓英杰,龙狮舞表演和戏曲表演,市级民俗旅游村。游客可以在北务镇享受到集观光、采摘、垂钓、餐饮、住宿、娱乐于一体的多彩假期生活。于地村村级文化活动种类丰富，历史悠久，不少村民都有一、两种文艺爱好，特别是村内的龙狮舞表演，享誉国内外，曾参加俄罗斯、巴黎及国内大型演出，秧歌、戏曲表演等也多次在区内获奖。每逢节假日游客还可以亲身参与龙狮舞表演和戏曲表演活动。为了进一步整合村内资源，发展民俗旅游，该村开展了“民俗庭院设计”大赛，对民俗户建设统一硬件标准、统一绿化美化，各户配备了标准客房、厨房、卫生间、浴室及电视、空调等电器，已有12户民俗户面向市民开放，日接待能力达400余人。每位市民每日平均消费50元，就可以吃在农家，住在农家，娱乐在农家，享受农家生活的惬意。
6,顺义区,赵全营镇,北郎中村,北京市顺义区赵全营镇北郎中村,60434371,石金鹏、蔡文凤,,北郎中村地处北京市绿色农业产业带。全村450户，1520口人，村域总面积6.6平方公里。目前，全村目前年经济总收入达到2亿元，人均年纯收入达到1.35万元，并以良好的态势快速增长。
7,昌平区,南口镇,龙潭村,北京市昌平区南口镇龙潭村,,,天龙潭自然风景区地处军都山脉与燕山山脉交汇处，属冰川地貌。这里山壁陡峭，谷底开阔，形如U字，故又称幽谷。由于地壳的变迁，火红的岩石自然组成的三条飞舞的赤龙，蜿蜒骑跨在群峰之上，犹如鬼斧神工，蔚为壮观。尤其是其中一条巨龙探头潭中作吸水状，更令人振臂称绝，天龙潭亦由此而得名。,天龙潭自然风景区距昌平南口镇7公里，以龙潭村为中心，响潭水库、龙潭水库、龙潭山庄、龙潭公园及3000亩原始森林环绕四周。这里一年四季景色宜人。早春二月，阳光明媚，百花争艳；夏季浓荫蔽日，松风习习，碧波荡漾；秋季满山红遍，百果飘香；冬季白雪皑皑，一派北国风光。著名的“燕平八景”之一的龙泉喷玉即座落于此。
8,平谷区,金海湖镇,将军关村,北京市平谷区金海湖镇将军关村,,,将军关明长城及石关遗址；金山采金洞矿洞遗址；新村住宅第一期工程，共45栋，86户，为二层框架式结构，共有7种户型，户型最小的每栋128平米，最大的为211平米，新村占地面积95亩，建筑面积14000余平米。,将军关，万里长城由东部进入北京的第一关，它以石结构的独特性，更显其非凡魅力，平谷区金海湖镇将军关村因紧靠将军关由此而得名。它位于美丽的金海湖北侧5公里处，丰厚的历史文化底蕴，勤劳智慧的人民，使这个名不见经传的小山村人丁日益兴旺。如今，将军关村已有470余户1700多口人。
9,平谷区,怀北镇,西庄村,北京市平谷区怀北镇西庄村,,,,"怀柔区怀北镇西庄村距城区9公里，是镇政府所在地。全村共有320户、820口人，总面积2.59平方公里，怀丰公路穿村而过。该村北距雁栖湖0.5公里，西距红螺寺景区5公里。西庄村是通往雁栖湖、九谷口、滑雪场、青龙峪、幽谷神潭、天池峡谷等景区的必经之路，地理位置得天独厚。村里设旅游接待站一处，民俗户170余家，床位1500余张，同时可接待游客2000余人,并有由健身公园、民间秧歌演出队、灯光篮球场、棋牌娱乐组成的文化大院。"
10,平谷区,怀北镇,东沟村,北京市平谷区怀北镇东沟村,,,,
11,怀柔区,汤河口镇,东帽湾村,北京市怀柔区汤河口镇东帽湾村,,,2007年10个“北京最美的乡村”之一。,汤河口镇东帽湾村是市级社会主义新农村建设示范村，地处奔流不息的白河南岸、滦赤路边，整个村落南面倚山，其它三面环水，独特的地理位置和丰富的水资源赋予了这个村庄难有的灵气。全村260户、728口人，村域面积7500亩，耕地面积800亩，山地面积3000亩，果树面积1500亩，西洋参种植面积350亩。
12,怀柔区,雁栖镇,官地村,北京市怀柔区雁栖镇官地村,,,青少年爱国主义教育基地“龙潭惨案”纪念碑；4月-11月为黄金季节，春节从初一到十五有民俗过大年,官地村坐落在北京市怀柔区雁栖镇的深山坳里，立村已有600余年的历史，因明代长城守军曾在此开荒军屯，故此得名。在这里可吃住在农家，体味纯朴的民俗风情。官地村还修建了垂钓场、篝火场、野外烧烤场、餐厅等。地村林木茂盛，气候凉爽，空气清新，山峰险峻，怪石天成，山泉水常年不断，古老的明长城穿村而过，周边有明长城19处关口，形成了极具历史风貌的民居群落，并且大部分保存完好。官地村与神堂峪风景区(国家AA级风景区)融为一体，闻名遐迩的雁栖河源于谷内，一年四季流水不断，清潭曲水随处可见，天然形成的鳄鱼潭、鸳鸯池、龙潭、水面宽阔，潭水清澈，是夏季戏水划船、避暑纳凉的好去处。
13,怀柔区,九渡河镇,西水峪村,北京市怀柔区九渡河镇西水峪村,,,,西水峪民俗度假村位于怀柔九渡河镇，距北京城区65公里，现有88户，260口人。据史料记载，该村是修建明长城时逐渐形成的自然村落，村庄背依古老的明长城，西临风景秀丽的小西湖自然风景区，植被覆盖率高达90%以上。全村共88户、143口人，45%的户搞民俗旅游。2002年该村共接待游人2.3万人次，民俗旅游收入98万元，占全村经济总收入的63%。
14,怀柔区,九渡河镇,撞道口村,北京市怀柔区九渡河镇撞道口村,61691580,,,撞道口村位于怀柔西部，全村110户，305口人。该村座落在怀九河畔，背靠明代古长城。距黄花城水长城景区仅有2公里。这里环境优美，山清水秀。长城著名关口“镇虏关”就位于该村北500米处。门洞长6.6米，高5米，宽3米。关口南北两侧分别安装石匾额。南面刻“撞道口”三字，北面刻“镇虏关”三字。目前，该村已有40户村民发展民俗旅游，其中区级民俗挂牌户19户。
15,怀柔区,渤海镇,苇店村,北京市怀柔区渤海镇苇店村,,,休闲旅游度假虹鳟鱼垂钓园；慕田峪长城,苇店村是市级乡村民俗旅游村，位于怀柔区渤海镇，是通往风光秀丽的慕田峪长城的必经之地。全村有192户，508口人。今年被评为市级民俗村，有市级民俗户28户，日接待量300人次。
16,怀柔区,渤海镇,六渡河村,北京市怀柔区渤海镇六渡河村,61621944,王福坤,,六渡河村位于怀柔区渤海镇，距北京城区65公里，与原始部落景区紧邻，距慕田峪景区8公里。这里四面环山。树木繁茂，尤以板栗最为有名。六渡河村民风淳朴。村民热情好客，有民俗接待户48户，床位500余张，停车场、垂钓烧烤园等配套设施齐全。盛产板栗、红果杏等多种名特优果品。游客随季节变化可品尝到农家多种山野菜和农家饭。
17,怀柔区,怀北镇,河防口村,北京市怀柔区河防口村,69662417,马旭敏,,河防口村地处怀柔城北燕山脚下，雄伟的古长城蜿蜒起伏于村北山颠之上，111国道穿村而过。这里自然资源丰富，山间果木茂盛。沿线有雁栖湖、青龙峡、怀北国际滑雪场、幽谷神潭等旅游景区(点)。
18,密云县,刘家店镇,行宫村,北京市密云县刘家店镇行宫村,,,三百年前(康熙五十三年1714年)行宫村建成，第三年康熙大帝二游丫髻山时，在此下榻，乾隆十二年(1747年)十八年(1753年)乾隆帝两游丫髻山都住行宫。,行宫村位于刘家店镇北部，因帝王驻跸而得名。地处山间平地，坐落在鳌山、龟山、宝珠山脚下，北靠山岭，南临洳河。聚落呈梯形，海拔80米左右。密三路从村前通过，交通便利，距离道教名胜风景区丫髻山仅2公里。
19,密云县,溪翁庄镇,石马峪村,北京市密云县石马峪村,,,,石马峪村位于风景秀丽的密云水库内湖畔，周围环境秀美，空气清新。紧临云湖森林公园，司马台长城，雾灵山，黑龙潭等风景区，是您休闲娱乐的好去处。石马峪村民风纯朴，这里的村民非常好客，可以提供各种农家小吃及棋牌，音乐等娱乐设施。价格便宜。
20,延庆县,井庄镇,柳沟村,北京市延庆县井庄镇柳沟村,61191703,,火盆锅、豆腐宴,柳沟地属延庆县井庄镇，古时又称凤凰城，明朝时期，作为居庸关一重要门户，设驻军把总属，担负着明皇陵(十三陵)的防务重任。柳沟古城历史悠久，文化渊源，有很高的观赏价值。全城总面积63000平方米，现尚有城墙、城门等遗址。在这里，您可以看古井、古树、古城墙，观古城、古庙、古烽火台遗迹，让您体会到古凤凰城昔日的威严与神秘。期间还可以听城中老人讲述古老的传说与传奇，如“五龙圣母”、“镇水王”等，让您感受到古城那种古老的文化气息。
