序号,名称,地址,区县
1,百善中心公园,北京市昌平区百善镇百善村北,昌平区
2,昌平公园,北京市昌平区鼓楼南大街28号,昌平区
3,永安公园,北京市昌平区南环路北侧,昌平区
4,东小口森林公园,北京市昌平区东小口森林公园,昌平区
5,亢山公园,北京市昌平区亢山路东侧,昌平区
6,赛场公园,北京市昌平区综合体育馆西侧,昌平区
7,回龙观体育公园,北京市昌平区回龙观镇体育公园,昌平区
8,南口公园,北京市昌平区南口镇西大桥西侧南口公园,昌平区
9,回龙园公园,北京市昌平区回龙观镇风雅园二区1号,昌平区
10,将府公园,将台乡东八间房村,朝阳区
11,京城梨园,朝阳区平房乡姚家园路与东五环路交汇处东南角,朝阳区
12,东坝郊野公园,北京市朝阳区东坝乡驹子房村东,朝阳区
13,镇海寺郊野公园,北京市朝阳区小红门乡牌坊村,朝阳区
14,八里桥公园,北京市朝阳区管庄乡八里桥村,朝阳区
15,金田郊野公园,北京市朝阳区豆各庄乡于家围北村478号,朝阳区
16,红领巾公园,北京市朝阳区后八里庄5号,朝阳区
17,太阳宫体育休闲公园,北京市朝阳区太阳宫地区太阳宫西路1号,朝阳区
18,朝阳公园,北京市朝阳区朝阳公园南路1号,朝阳区
19,四得公园,北京市朝阳区将台西路9号,朝阳区
20,东一处公园,北京市朝阳区双桥东路东一时区,朝阳区
21,白鹿郊野公园,北京市朝阳区王四营乡道口村,朝阳区
22,北京中华民族园,北京市朝阳区民族园路1号,朝阳区
23,杜仲公园,北京市朝阳区三间房乡金卫路甲1号,朝阳区
24,朝来农艺园,北京市朝阳区来广营乡新生大队西侧,朝阳区
25,常营公园,北京市朝阳区常营乡幺家店路北侧,朝阳区
26,太阳宫公园,北京市朝阳区太阳宫中路6号,朝阳区
27,庆丰公园,通惠河西部、CBD南侧,朝阳区
28,兴隆公园,北京市朝阳区高碑店兴隆庄甲8号,朝阳区
29,大望京公园,朝阳区崔各庄乡大望京村,朝阳区
30,北焦公园,朝阳区化工路东口1号,朝阳区
31,南湖公园,北京市朝阳区阜通西大街20号,朝阳区
32,团结湖公园,北京市朝阳区团结湖南里16号,朝阳区
33,鸿博公园,北京市朝阳区小红门乡小红门村,朝阳区
34,老君堂公园,北京市朝阳区十八里店乡老君堂村武警部队以东,朝阳区
35,京城槐园,北京市朝阳区平房乡北小河路东,朝阳区
36,北小河公园,北京市朝阳区师家坟村156号,朝阳区
37,望湖公园,北京市朝阳区望京北路51号,朝阳区
38,海棠公园,北京市朝阳区十八里店乡老君堂村武警部队以西,朝阳区
39,立水桥公园,北京市朝阳区来广营乡立水桥安立路两侧,朝阳区
40,金盏郁金香花园,北京市朝阳区东苇路金盏郁金香花园,朝阳区
41,元大都城垣遗址公园（朝阳区）,北京市朝阳区安外小关街甲38号,朝阳区
42,丽都公园,朝阳区芳园西路6号,朝阳区
43,日坛公园,北京市朝阳区日坛北路6号,朝阳区
44,古塔公园,北京市朝阳区王四营乡观音堂,朝阳区
45,奥林匹克森林公园,北京市朝阳区科荟路33号,朝阳区
46,东风公园,北京市朝阳区东风乡将台洼村,朝阳区
47,朝来森林公园,北京市朝阳区来广营乡新北路999号,朝阳区
48,京城体育场郊野公园,京城体育场郊野公园环绕朝阳体育中心两侧，东临东五环，南临姚家园路，西临朝阳体育中心西路，北侧与东坝乡接壤,朝阳区
49,京城森林公园,于姚家园路与黄杉木店路交汇处,朝阳区
