序号,单位名称,岗位名称,招聘人数,学历要求,薪资待遇（元/月）,详情
1,河北骏驰汽车贸易有限公司,汽车销售顾问,10,中专,3000-6000,有相关卡车销售经验及有驾照者优先
2,河北骏驰汽车贸易有限公司,业务内勤,2,中专,2000-3000,熟练使用办公类软件，有一定的财务知识
3,河北源达证券投资顾问股份有限公司,招聘专员,1,大专,3000-4000,人力资源管理或相关专业大专以上学历
4,河北源达证券投资顾问股份有限公司,高级销售,10,大专,3000-4000,行动力强，有与人沟通的热情
5,招商银行股份有限公司信用卡中心,信用卡销售顾问,10,大专,7000-10000,全日制大专（含）及以上，专业不限
6,石家庄金冠锐驰汽车销售有限公司,汽车销售顾问,10,不限,3000-4000,大专及以上学历，有驾驶证并驾驶熟练
7,河北红弧房地产营销策划有限公司,驻场专员,5,中专,2000-4000,有较强的沟通能力
8,河北红弧房地产营销策划有限公司,销售代表,10,中专,3000-8000,有较强的的沟通能力
9,河北恩湃商贸有限公司,电话销售,10,中专,3000-8000,有亲和力，普通话标准
10,石家庄京达房地产开发有限公司,渠道专员,5,大专,3000-6000,大专及以上学历
11,中国化学工程第十四建设有限公司,会计,2,本科,3000-5000,长期驻外，适合男士。
12,中国化学工程第十四建设有限公司,仪表工程师,5,大专,2500-5000,能够适应建筑施工企业项目施工现场工作和生活环境
13,河北岱慧商务信息咨询服务有限公司,联通客服,15,中专,2000-4000,熟练掌握计算机知识，能熟练使用WORD、EXCEL等软件
14,石家庄存房房地产经纪有限公司,新房销售,10,大专,4000-5000,大专及以上学历，专业不限
15,河北旭杰生物科技有限公司,行政司机,3,不限,2000-3000元,认真完成公司的派车任务要求，服从派车调度人员指挥。 坚持行车安全检查，每次行车前检查车辆，发现问题及时排除，确保车辆运行。 
16,石家庄精致化工技术有限公司,售后工程师,3,大专,2000-3000元,"适应长期出差，化工相关专业,转正后缴纳五险一金"
17,河北九乐房地产开发有限公司,行政文员,1,大专,2000-3000元,负责办公室各类问题的及时处理，具备一定的行政管理知识；工作细致、认真、有责任心，较强的文字撰写能力，较强的沟通协调以及语言表达能力
18,石家庄宁泽电气技术有限公司,销售代表,10,中专,7000-10000元,人品端正，无不良嗜好史；较强沟通能力，亲和力；有团队精神，执行力；欢迎有房产，教育，医疗等公共行业资源者合作。
19,河北步步高电子产品销售有限公司,vivo专卖店导购,10,大专,2000-3000元,负责做好货品销售记录、盘点、账目核对等工作，按规定完成各项销售统计工作；完成商品的来货验收、上架陈列摆放、补货、退货、防损等日常营业工作
20,河北步步高电子产品销售有限公司,vivo手机维修工程师,5,中专,3000-4000元,男，年龄20-30岁，应用电子、通讯技术类相关专业，大专以上学历；1年以上相关产品维护及测试工作经验优先；
21,河北鹤舒阁医药科技有限公司,临床协调员,10,本科,4000-5000元,医学、药学相关专业本科以上学历（有工作经历或临床、护理工作经验者大专学历）；熟悉药物临床试验及GCP等相关法规；
22,河北叶婴文化传播有限公司,中小学英语教师,5,本科,3000-4000元,本科及以上学历，英语专业或师范专业；英语六级以上，普通话标准，英语发音标准，语法通达
23,河北威尔达信息技术有限公司,文员、资料员,2,大专,3000-4000元,熟练通信项目设计流程方法；熟练word、Excel、visio、Autocad，以及室分设计软件；熟练掌握室内分布系统设计
24,河北明仁农业科技有限公司,销售区域经理,6,中专,4000-5000元,"学历不限，年龄25-50岁，从事相关行业相同岗位3年以上，有驾照并有2年以上（或5万公里）驾驶经验能独立开车。优先录用条件：大专学历、植保农学等相关专业,自有车辆"
25,河北明仁农业科技有限公司,农业技术推广员,10,大专,2000-3000元,植保、园艺、农学等农业相关专业大专以上学历，掌握一定的专业基础知识，能够协助业务经理和技术老师完成产品试验示范和新产品推广工作
26,河北明仁农业科技有限公司,会计,1,中专,3000-4000元,财会类专业毕业，品行端正工作踏实，能独立完成财务类账务处理、税务事务处理
