单位名称,许可备案号,许可有效期,注册地址,场所地址,法人姓名
北京雷腾娱乐有限公司,京兴娱（游艺）〔2012〕0036号,2018-10-31,北京市大兴区旧宫镇科技路21-39号（宣颐家园J4号楼）,北京市大兴区旧宫镇科技路21-39号（宣颐家园J4号楼）,周健男
北京金航线娱乐有限公司,京东娱（游艺）〔1999〕0008号,2018-10-19,北京市崇文区光明路13号地下一层,北京市崇文区光明路13号地下一层,赵立英
北京市东城十字坡影剧院电子游戏厅,京东娱（游艺）〔2001〕0009号,2018-10-19,北京市东城区王府井大街277号,北京市东城区王府井大街277号,杨勇
北京快乐岛上网服务有限公司,京朝娱（游艺）〔1998〕0084号,2018-10-13,朝阳区团结湖东里10号,朝阳区团结湖东里10号,韩冰
北京普阳电子游艺有限公司,京平娱（游艺）〔2014〕0018号,2018-10-07,北京市平谷区平谷镇西环南路5号,北京市平谷区平谷镇乐园西小区24楼4单元6号,王庆国
北京乐趣文化发展有限公司,京朝娱（游艺）〔2009〕0298号,2018-09-30,朝阳区朝外大街三丰北里2号楼B1-07号,朝阳区朝外大街三丰北里2号楼B1-07号,刘楠
北京乐联文化发展有限公司,京朝娱（游艺）〔2011〕0352号,2018-09-30,朝阳区朝阳北路101号楼8F-dd01,朝阳区朝阳北路101号楼8F-dd01,刘楠
北京海华城电子游艺俱乐部有限公司,京朝娱（游艺）〔2012〕0362号,2018-09-30,北京市朝阳区霄云路35号【6-5】54幢、57幢,北京市朝阳区霄云路35号【6-5】54幢、57幢,隋蕾蕾
北京乐番互动娱乐有限公司,京朝娱（游艺）〔2012〕0374号,2018-09-30,朝阳区晨光家园323号楼1至2层103,朝阳区晨光家园323号楼1至2层103,高辉
北京海蓝宇休闲健身娱乐有限公司,京朝娱（游艺）〔2013〕0396号,2018-09-30,北京市朝阳区雅成一里19号楼地下一层,北京市朝阳区雅成一里19号楼地下一层,李瑞金
北京乐酷玩艺游艺娱乐有限公司,京朝娱（游艺）〔2013〕0401号,2018-09-30,北京市朝阳区紫南家园108号楼二段四层商业1,北京市朝阳区紫南家园108号楼二段四层商业1,张佳亮
北京凯博风电子游艺有限公司,京朝娱（游艺）〔2013〕0407号,2018-09-30,朝阳区清河营南街7号院3号楼-1层（-1）-159内（GF-C07a）,朝阳区清河营南街7号院3号楼-1层（-1）-159内（GF-C07a）,曹勇
北京核动力游艺娱乐中心,京朝娱（游艺）〔2014〕0417号,2018-09-30,朝阳区北苑家园秋实街1号1幢4层4F-20,朝阳区北苑家园秋实街1号1幢4层4F-20,傅娇女
北京亦酷星空电子游艺娱乐有限公司,京东娱（游艺）〔2013〕0034号,2018-09-29,北京市东城区建国门内大街18号B1层（030-034单元）,北京市东城区建国门内大街18号B1层（030-034单元）,孙海峰
北京炫酷尖兵娱乐游艺有限公司,京海娱（游艺）〔2011〕0009号,2018-09-29,海淀区交大东路25号1号楼-1层北侧,北京市海淀区交大东路25号1号楼-1层北侧,龚农垦
北京宏潞达餐饮文化传播有限公司,通游11005号,2018-09-29,北京市通州区车站路8号,北京市通州区车站路8号,刘炜
北京快乐王子电子游艺有限公司,通游12039号,2018-09-29,北京市通州区八里桥市场市兴路2号楼2层,北京市通州区八里桥市场市兴路2号2层,华晓燕
北京海洋欢乐汇娱乐有限公司,京东娱（游艺）〔2011〕0019号,2018-09-28,北京市东城区隆福寺街99号金隆基大厦B1层B101,北京市东城区隆福寺街99号金隆基大厦B1层B101,黄河
