序号,名称,面积(亩),所在区
1,半塔公园,429,昌平区
2,东小口森林公园,2299,昌平区
3,太平郊野公园,1085,昌平区
4,白鹿郊野公园,430,朝阳区
5,百花郊野公园,500,朝阳区
6,常营公园,1114,朝阳区
7,朝来森林公园,1059,朝阳区
8,东坝郊野公园,3513,朝阳区
9,东风公园,1200,朝阳区
10,杜仲公园,898,朝阳区
11,古塔公园,836,朝阳区
12,海棠公园,497,朝阳区
13,鸿博公园,1200,朝阳区
14,黄草湾郊野公园,585,朝阳区
15,将府公园,1740,朝阳区
16,金田郊野公园,2700,朝阳区
17,京城槐园,1098,朝阳区
18,京城梨园,930,朝阳区
19,京城森林公园,650,朝阳区
20,京城体育休闲公园,562,朝阳区
21,老君堂公园,725,朝阳区
22,清河营郊野公园,865,朝阳区
23,太阳宫体育休闲公园,945,朝阳区
24,兴隆公园,685,朝阳区
25,勇士营公园,306,朝阳区
26,镇海寺郊野公园,503,朝阳区
27,旺兴湖公园,1918,大兴区
28,亦新公园,605,大兴区
29,高鑫公园,554,丰台区
30,海子公园,405,丰台区
31,和义郊野公园,412,丰台区
32,槐新公园（一期）,1350,丰台区
33,经仪公园,480,丰台区
34,看丹公园（一期）,737,丰台区
35,绿堤公园,1575,丰台区
36,桃苑公园,356,丰台区
37,天元公园,492,丰台区
38,万丰公园（一期）,660,丰台区
39,晓月公园,1012,丰台区
40,榆树庄公园,315,丰台区
41,御康公园,596,丰台区
42,北坞郊野公园,498,海淀区
43,八家地郊野公园,1521,海淀区
44,长春健身园,159,海淀区
45,丹青圃公园（一期）,665,海淀区
46,平庄郊野公园,658,海淀区
47,树村郊野公园,559,海淀区
48,玉东公园（一期）,968,海淀区
49,玉泉山郊野公园,690,海淀区
50,老山郊野公园,1186,石景山
