letter	goBed	getUp
8.01    23:00   06:00
8.02    23:00   06:00
8.03    23:00   06:00
8.04    24:00   07:00
8.05    23:00   07:00
8.07    01:00   08:00
8.08    23:30   08:00
8.09    23:30   08:00
8.10    23:30   08:00
8.11    23:00   08:00
8.12    01:00   09:00
8.13    01:00   09:00
8.14    02:00   08:00
8.15    02:00   08:00
8.16    02:00   08:00
8.17    02:00   08:00
8.18    02:00   08:00
8.19    02:00   08:00
8.20    02:00   08:00
8.21    01:47   08:15
8.22    00:12   07:56
8.23    00:09   05:56
8.24    00:58   08:04
8.25    03:24   08:03
8.26    00:22   07:12
8.27    23:49   07:29
8.28    23:14   07:06
8.29    00:22   07:13
8.30    00:12   07:56
8.31    00:12   07:56
9.01    00:12   07:56
9.02    00:12   07:56
9.03    01:21   07:40
9.04    00:56   07:21
9.05    02:45   07:31
